username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hannahisyounng;2016/04/12;1;4;"Had a dream I was at a neck deep show at the old national center and both Hilary Clinton and Donald Trump walked out of the men's room ???";;;;"719892507018956800";https://twitter.com/hannahisyounng/status/719892507018956800
MichaelDayUK;2016/04/11;1;4;"http://www.huffingtonpost.co.uk/michael-day/donald-trump_b_9658764.html … my article on trump/Hilary referring to the work of @20committee @TheRickWilson @MaxBoot @RadioFreeTom";;@20committee @TheRickWilson @MaxBoot @RadioFreeTom;;"719543777023672320";https://twitter.com/MichaelDayUK/status/719543777023672320
AwkwardBling;2016/04/10;8;16;"Donald trump: making America hate again Hilary Clinton: making America fake again Bernie sanders: making America bake again";;;;"719354915215138816";https://twitter.com/AwkwardBling/status/719354915215138816
EyeEsha_;2016/04/10;2;1;"Okay, so Hollis Doyle is Donald Trump and Mellie is Hilary Clinton. did I get that right? @shondarhimes";;@shondarhimes;;"719302007824216064";https://twitter.com/EyeEsha_/status/719302007824216064
lesbiangst;2016/04/10;0;9;"Question: ”So, Donald Trump or Hilary Clinton?“ BBM: ”I don't want to have an issue with ANY country.“ (NV) Literally W H A T ????";;;;"719133472510443520";https://twitter.com/lesbiangst/status/719133472510443520
RAGlNGBITCH;2016/04/10;6;8;""Donald Trump or Hilary Clinton?" How about Bernie Sanders";;;;"719132992875077633";https://twitter.com/RAGlNGBITCH/status/719132992875077633
deadpoolarrie;2016/04/08;10;22;"us elections for me as an outsider: - a serial killer - amazing grandpa 10/10 must vote for - Hilary flip flop Clinton - Donald trump";;;;"718517637190430720";https://twitter.com/deadpoolarrie/status/718517637190430720
catherine333777;2016/04/08;6;9;"@peaceandjoy101 @scottisbell_ @realDonaldTrump my 6 y.o has been singing "I'm voting for the winner Donald Trump, not for Hilary the chump"";;@peaceandjoy101 @scottisbell_ @realDonaldTrump;;"718309451451744257";https://twitter.com/catherine333777/status/718309451451744257
BenJustChillin;2016/04/07;7;8;""Its looking like the US presidential race is between Hilary Clinton and Donald Trump" God: ..... pic.twitter.com/bCFlv2x1bK";;;;"718266442047700994";https://twitter.com/BenJustChillin/status/718266442047700994
Always_Trump;2016/04/07;28;29;"WI Exit Poll: #DonaldTrump Vs Hilary Clinton - 61% Vote Trump - https://www.youtube.com/watch?v=NX01XSO16zI …";;;#DonaldTrump;"718136293759197184";https://twitter.com/Always_Trump/status/718136293759197184
KatieHunter03;2016/04/07;0;4;"I don't care enough about politics to vote, but I'm so sick of hearing about Donald trump and Hilary Clinton i could scream.";;;;"717932428602523648";https://twitter.com/KatieHunter03/status/717932428602523648
lindsayannhoke;2016/04/06;0;5;"why would anyone with a brain vote for Donald Trump or Hilary Clinton";Charleston, WV;;;"717888038647541761";https://twitter.com/lindsayannhoke/status/717888038647541761
AshKaneSkittles;2016/04/05;2;11;"Bernie is premium bottled water Hilary Clinton is tap water Donald Trump is toilet water";;;;"717540375129415680";https://twitter.com/AshKaneSkittles/status/717540375129415680
MjHoopin;2016/04/05;1;2;"Hilary Clinton On Black Girls Rock is like Donald Trump on Telemundo";;;;"717530535237722112";https://twitter.com/MjHoopin/status/717530535237722112
Corruptkids;2016/04/05;3;2;"Something about Hilary Clinton and everything about Donald Trump, rubs me the wrong way.";;;;"717530485400842240";https://twitter.com/Corruptkids/status/717530485400842240
ben_hameen21;2016/04/05;0;17;"Donald Trump too stupid, Ted Cruz too ugly, Hilary Clinton a pathological liar , & Bernie Sanders want weed legal. Which 1 should we choose?";;;;"717527406546972672";https://twitter.com/ben_hameen21/status/717527406546972672
Crayons4kidz;2016/04/05;1;7;"A1- Donald Trump and Hilary Clinton are too much government #1984edchatpic.twitter.com/YSFEIOxyWV";;;#1984edchatpic;"717399631680954368";https://twitter.com/Crayons4kidz/status/717399631680954368
Pawnshopfilms;2016/04/03;0;1;"Hilary Clinton is equally as disgusting as Donald Trump. They are both evil and unqualified pieces of shit...";Somers, NY;;;"716636783501582336";https://twitter.com/Pawnshopfilms/status/716636783501582336
